Element Count, Merge Sort - Ascending
10, 3600
11, 2330
12, 2500
13, 2600
14, 2940
15, 3090
16, 3320
17, 3560
18, 3740
19, 3880
20, 4010
21, 4330
22, 4500
23, 4780
24, 4970
25, 5230
26, 9320
27, 5710
28, 5900
29, 6610
30, 6540
31, 6670
32, 6820
33, 7150
34, 7620
35, 8510
36, 9630
37, 8030
38, 7940
39, 8230
40, 8450
41, 8780
42, 8930
43, 9270
44, 9380
45, 9760
46, 10500
47, 10190
48, 10310
49, 11440
50, 11370
51, 11500
52, 11780
53, 12330
54, 13290
55, 13120
56, 12800
57, 13950
58, 13380
59, 14000
60, 13600
61, 14220
62, 14400
63, 14580
64, 14740
65, 18160
66, 15160
67, 15380
68, 15650
69, 15830
70, 16380
71, 16280
72, 16770
73, 18510
74, 18590
75, 18610
76, 20160
77, 20130
78, 20830
79, 22340
80, 20610
81, 20050
82, 20510
83, 20610
84, 23260
85, 20880
86, 20850
87, 21380
88, 21310
89, 21840
90, 33280
91, 25770
92, 28540
93, 24590
94, 23080
95, 23370
96, 24010
97, 23970
98, 24140
99, 24330
100, 25110
101, 24410
102, 25300
103, 25130
104, 25380
105, 26490
106, 25670
107, 25740
108, 26050
109, 26220
110, 26490
111, 27000
112, 26480
113, 26880
114, 28050
115, 30300
116, 28000
117, 31690
118, 31170
119, 32860
120, 33010
121, 34220
122, 34350
123, 34380
124, 32560
125, 33190
126, 36530
127, 32850
128, 32560
129, 33310
130, 32270
131, 32790
132, 32310
133, 33180
134, 35900
135, 35790
136, 33520
137, 34200
138, 34370
139, 34940
140, 33900
141, 34560
142, 35200
143, 35650
144, 35350
145, 37290
146, 39360
147, 38700
148, 39690
149, 43050
150, 46750
151, 45350
152, 44030
153, 44120
154, 55320
155, 58010
156, 54810
157, 42530
158, 45930
159, 44530
160, 43580
161, 41730
162, 43670
163, 43330
164, 43980
165, 44900
166, 44640
167, 44300
168, 43930
169, 44930
170, 44040
171, 44860
172, 45060
173, 45520
174, 46970
175, 49270
176, 47260
177, 48690
178, 50100
179, 48150
180, 57300
181, 63700
182, 49960
183, 48340
184, 48240
185, 49080
186, 49170
187, 49430
188, 53700
189, 50100
190, 59930
191, 49030
192, 48670
193, 49060
194, 49050
195, 50830
196, 51340
197, 52760
198, 56240
199, 55180
200, 55880
201, 59360
202, 65380
203, 57650
204, 53450
205, 52010
206, 51830
207, 51620
208, 51430
209, 53490
210, 53410
211, 55850
212, 58660
213, 58580
214, 58930
215, 59310
216, 59620
217, 59430
218, 59870
219, 59060
220, 58210
221, 58610
222, 59790
223, 69650
224, 58360
225, 59940
226, 58340
227, 59180
228, 59260
229, 59280
230, 59120
231, 58140
232, 58360
233, 58610
234, 58600
235, 59210
236, 58360
237, 59590
238, 59490
239, 60360
240, 61190
241, 66010
242, 74420
243, 70780
244, 92140
245, 91240
246, 83570
247, 67250
248, 84400
249, 77500
250, 64260
251, 66670
252, 69850
253, 69600
254, 78590
255, 79660
256, 86110
257, 83230
258, 91120
259, 82680
260, 81600
261, 86190
262, 84870
263, 77780
264, 77330
265, 76600
266, 77950
267, 75080
268, 74600
269, 75610
270, 74740
271, 80350
272, 79980
273, 86430
274, 82850
275, 74580
276, 73610
277, 79820
278, 74150
279, 73500
280, 75280
281, 77720
282, 72290
283, 73000
284, 72060
285, 73100
286, 75550
287, 80600
288, 80190
289, 77210
290, 76120
291, 74790
292, 73520
293, 74390
294, 74060
295, 74830
296, 80470
297, 81010
298, 76970
299, 76380
300, 76730
301, 76320
302, 76430
303, 79420
304, 82520
305, 81070
306, 84340
307, 84570
308, 81110
309, 78410
310, 78780
311, 85220
312, 81660
313, 83440
314, 80340
315, 80140
316, 79970
317, 81190
318, 93830
319, 87200
320, 94270
321, 93090
322, 100720
323, 85090
324, 84110
325, 108900
326, 86690
327, 85350
328, 85410
329, 85590
330, 86910
331, 89570
332, 93420
333, 91760
334, 95080
335, 98600
336, 89200
337, 88130
338, 90670
339, 87500
340, 90250
341, 88180
342, 89760
343, 88300
344, 89150
345, 99760
346, 97980
347, 104260
348, 106720
349, 106600
350, 108950
351, 104980
352, 104960
353, 105840
354, 108960
355, 108070
356, 103780
357, 104510
358, 105030
359, 106800
360, 104390
361, 113640
362, 101110
363, 95190
364, 97920
365, 98790
366, 93580
367, 94630
368, 94390
369, 112380
370, 108200
371, 109810
372, 105650
373, 104730
374, 97890
375, 99520
376, 99620
377, 100570
378, 99380
379, 98830
380, 99270
381, 105330
382, 105280
383, 109100
384, 119050
385, 102800
386, 102490
387, 101800
388, 102810
389, 109200
390, 102520
391, 103760
392, 104460
393, 106690
394, 108620
395, 119700
396, 136600
397, 127350
398, 123960
399, 125520
400, 121310
401, 119250
402, 117120
403, 117030
404, 124170
405, 133880
406, 125850
407, 124240
408, 119850
409, 129320
410, 113860
411, 113340
412, 111860
413, 110750
414, 110100
415, 108870
416, 109440
417, 110590
418, 109950
419, 113630
420, 111360
421, 111960
422, 109720
