Element Count, Merge Sort - Descending
10, 2480
11, 2440
12, 2670
13, 2930
14, 3200
15, 4510
16, 2870
17, 3040
18, 3250
19, 3480
20, 3680
21, 3890
22, 4110
23, 4300
24, 4490
25, 4810
26, 4830
27, 4980
28, 5220
29, 6120
30, 5540
31, 5780
32, 5940
33, 6130
34, 6440
35, 6740
36, 6890
37, 7110
38, 7290
39, 7510
40, 7680
41, 8220
42, 8190
43, 8400
44, 8630
45, 8900
46, 9170
47, 9380
48, 10240
49, 10060
50, 10340
51, 10470
52, 10770
53, 11430
54, 11090
55, 11420
56, 12080
57, 11770
58, 11970
59, 12290
60, 12500
61, 12570
62, 12870
63, 13260
64, 13370
65, 14290
66, 14000
67, 14190
68, 14480
69, 15460
70, 14950
71, 15170
72, 15500
73, 15580
74, 15790
75, 19510
76, 18710
77, 17850
78, 17320
79, 17320
80, 17330
81, 19070
82, 17890
83, 18940
84, 18310
85, 18540
86, 18620
87, 18880
88, 19130
89, 19680
90, 19960
91, 20080
92, 19990
93, 20480
94, 20640
95, 21600
96, 23860
97, 22110
98, 22020
99, 22010
100, 22050
101, 23710
102, 23660
103, 23080
104, 23290
105, 23750
106, 24050
107, 24890
108, 24630
109, 24540
110, 24910
111, 24660
112, 25370
113, 25550
114, 25510
115, 26110
116, 26130
117, 26280
118, 26210
119, 26790
120, 26660
121, 27040
122, 27750
123, 27790
124, 27920
125, 28560
126, 28730
127, 29170
128, 29050
129, 28990
130, 29210
131, 29340
132, 29620
133, 30300
134, 30060
135, 37350
136, 39300
137, 32470
138, 31160
139, 31340
140, 32640
141, 32700
142, 32430
143, 33080
144, 33390
145, 33580
146, 33980
147, 34490
148, 34040
149, 34480
150, 34320
151, 34650
152, 34770
153, 35150
154, 35240
155, 35570
156, 35390
157, 36170
158, 36210
159, 37040
160, 36570
161, 41720
162, 41910
163, 43250
164, 43130
165, 38130
166, 37770
167, 37930
168, 38110
169, 39240
170, 39660
171, 39420
172, 40690
173, 40770
174, 41400
175, 41530
176, 42340
177, 42270
178, 42580
179, 42770
180, 42690
181, 44010
182, 45340
183, 43600
184, 43740
185, 47820
186, 45970
187, 47410
188, 46120
189, 47160
190, 53670
191, 47310
192, 165150
193, 46360
194, 45980
195, 48020
196, 48540
197, 49650
198, 49960
199, 49340
200, 49080
201, 49970
202, 49890
203, 50490
204, 50240
205, 50780
206, 50810
207, 51150
208, 52260
209, 53390
210, 51940
211, 52050
212, 52360
213, 52840
214, 53130
215, 53060
216, 53260
217, 54150
218, 53550
219, 61200
220, 85260
221, 65260
222, 59900
223, 64370
224, 57500
225, 60090
226, 61600
227, 57430
228, 56380
229, 56860
230, 56880
231, 57180
232, 61550
233, 59390
234, 58660
235, 60760
236, 60390
237, 59520
238, 59380
