Element Count, Merge Sort - Random
10, 2270
11, 2070
12, 2190
13, 2380
14, 2880
15, 2810
16, 2960
17, 3200
18, 3350
19, 3560
20, 3780
21, 4060
22, 4500
23, 4390
24, 5710
25, 4850
26, 5010
27, 5220
28, 5400
29, 5640
30, 5850
31, 6100
32, 6270
33, 6560
34, 6750
35, 6910
36, 7200
37, 7430
38, 7560
39, 10910
40, 10640
41, 10940
42, 11320
43, 11460
44, 11400
45, 9820
46, 10070
47, 10900
48, 10600
49, 10740
50, 10900
51, 11330
52, 11020
53, 11420
54, 11540
55, 11660
56, 12160
57, 12520
58, 12510
59, 12750
60, 12950
61, 13250
62, 13810
63, 13700
64, 13940
65, 14480
66, 14930
67, 15420
68, 15400
69, 15840
70, 15960
71, 16260
72, 16470
73, 16590
74, 16860
75, 17180
76, 17380
77, 17880
78, 17730
79, 18270
80, 18490
81, 18770
82, 18890
83, 19250
84, 19440
85, 19800
86, 24280
87, 21550
88, 21710
89, 22430
90, 21180
91, 22460
92, 21800
93, 23060
94, 22560
95, 22650
96, 23020
97, 23490
98, 23560
99, 24270
100, 24150
101, 25070
102, 24710
103, 24620
104, 24450
105, 25530
106, 25570
107, 25010
108, 26040
109, 25860
110, 26630
111, 27070
112, 26590
113, 27250
114, 27290
115, 27750
116, 28260
117, 27990
118, 28700
119, 29840
120, 29120
121, 29340
122, 29710
123, 29630
124, 30110
125, 30560
126, 30890
127, 30970
128, 32610
129, 35330
130, 33470
131, 42270
132, 36430
133, 34240
134, 117670
135, 63700
136, 33870
137, 32290
138, 34940
139, 35830
140, 36450
141, 36400
142, 37250
143, 47620
144, 37600
145, 37660
146, 38800
147, 37900
148, 38740
149, 38800
150, 42880
151, 44800
152, 39670
153, 39900
154, 39750
155, 40200
156, 41080
157, 41570
158, 41780
159, 41340
160, 41810
161, 42810
162, 42450
163, 43100
164, 44640
165, 43980
166, 43630
167, 44220
168, 44870
169, 45100
170, 44510
171, 46810
172, 47260
173, 47380
174, 49420
175, 48010
176, 47610
177, 52670
178, 54850
179, 50850
180, 50010
181, 49470
182, 49110
183, 50460
184, 49280
185, 50010
186, 50990
187, 50670
188, 51180
189, 55360
190, 51530
191, 51660
192, 52580
193, 52400
194, 53330
195, 53220
196, 54790
197, 54750
198, 53440
199, 54190
200, 55690
201, 55480
202, 56340
203, 59240
204, 56420
205, 58010
206, 56220
207, 57270
208, 56750
209, 57130
210, 57290
211, 58910
212, 56830
213, 59370
214, 58380
215, 57930
216, 59200
217, 60610
218, 59650
219, 59730
220, 59700
221, 60830
222, 60720
223, 62110
224, 60690
225, 69840
226, 66010
227, 62020
228, 63050
229, 73250
230, 74690
231, 88770
232, 94520
233, 65230
234, 61920
235, 78380
236, 65420
237, 65480
238, 67370
239, 74040
240, 69540
241, 69310
242, 69230
243, 66340
244, 69630
245, 72170
246, 69170
247, 86310
248, 73550
249, 71190
250, 74230
251, 70490
252, 70840
253, 71060
254, 71060
255, 70960
256, 71170
257, 73680
258, 76630
259, 78270
260, 77020
261, 88430
262, 91550
263, 93130
