Element Count, Quick Sort - Ascending
10, 550
11, 670
12, 850
13, 970
14, 950
15, 1280
16, 830
17, 1040
18, 1320
19, 1650
20, 1580
21, 1580
22, 1710
23, 1950
24, 2080
25, 2430
26, 2300
27, 2810
28, 3990
29, 4250
30, 4740
31, 5610
32, 5440
33, 5830
34, 5770
35, 5250
36, 4330
37, 5020
38, 5050
39, 5190
40, 5890
41, 5750
42, 6060
43, 6510
44, 6620
45, 6930
46, 7170
47, 7380
48, 7510
49, 8100
50, 8350
51, 9290
52, 9620
53, 10070
54, 10910
55, 11420
56, 13460
57, 10920
58, 11740
59, 12010
60, 12210
61, 13750
62, 13320
63, 15770
64, 14530
65, 13470
66, 14470
67, 14550
68, 16680
69, 25500
70, 18880
71, 18240
72, 17560
73, 16660
74, 18370
75, 29530
76, 29110
77, 25960
78, 21280
79, 21690
80, 20540
81, 22440
82, 21390
83, 22660
84, 22570
85, 26460
86, 25760
87, 27530
88, 26500
89, 26700
90, 28670
91, 28580
92, 29360
93, 30550
94, 30930
95, 30870
96, 32570
97, 34810
98, 33430
99, 36500
100, 38120
101, 39210
102, 36720
103, 37420
104, 38070
105, 38240
106, 39020
107, 40520
108, 42380
109, 38560
110, 43000
111, 40050
112, 43870
113, 42390
114, 38890
115, 45660
116, 45260
117, 46070
118, 47170
119, 51390
120, 50390
121, 49940
122, 49580
123, 53460
124, 53290
125, 54810
126, 58560
127, 55080
128, 54610
129, 54560
130, 53660
131, 62050
132, 56730
133, 63160
134, 63050
135, 66380
136, 68450
137, 63390
138, 67170
139, 70640
140, 68950
141, 70210
142, 74210
143, 71940
144, 69600
145, 77760
146, 73760
147, 70510
148, 79450
149, 79250
150, 76450
151, 80490
152, 85770
153, 79470
154, 86070
155, 82270
156, 206260
157, 88380
158, 91470
159, 95700
160, 90150
161, 91070
162, 99240
163, 96620
164, 100610
165, 94570
166, 102510
167, 97930
168, 104970
169, 104890
170, 103030
171, 101040
172, 101660
173, 96120
174, 110130
175, 112940
176, 118550
177, 115400
178, 102270
179, 117240
180, 121640
181, 113950
182, 122990
183, 120520
184, 114040
185, 115980
186, 119220
187, 131560
188, 192630
189, 132520
190, 132050
191, 126860
192, 135250
193, 132670
194, 135930
195, 133830
196, 134120
197, 141150
198, 157350
199, 154110
200, 147310
201, 154000
202, 147530
203, 147840
204, 144870
205, 151340
206, 159430
207, 163270
208, 160330
209, 158260
210, 149590
211, 159160
212, 163640
213, 162470
214, 168100
215, 157360
216, 171390
217, 163500
218, 156210
219, 167250
220, 175000
221, 172580
222, 175350
223, 177550
224, 180210
225, 182190
226, 181340
227, 176080
228, 183130
229, 190800
230, 188720
231, 186170
232, 190820
233, 207410
234, 198040
235, 202090
236, 196850
237, 197390
238, 212450
239, 198250
240, 212310
241, 218940
242, 206250
243, 213330
244, 199830
245, 216380
246, 206110
247, 237040
248, 219380
249, 228240
250, 216240
251, 223500
252, 228260
253, 231700
254, 243390
255, 243650
256, 238180
257, 236950
258, 247740
259, 231560
260, 249330
261, 265970
262, 274380
263, 260160
264, 240120
265, 247650
266, 251110
267, 243930
268, 248160
269, 263540
270, 266460
271, 269110
272, 293700
273, 276470
274, 269500
275, 269300
276, 283040
277, 279670
