Element Count, Quick Sort - Descending
10, 750
11, 480
12, 600
13, 590
14, 990
15, 860
16, 1080
17, 1030
18, 1130
19, 1240
20, 2470
21, 1760
22, 1990
23, 2150
24, 2210
25, 2650
26, 2660
27, 3230
28, 3230
29, 3010
30, 3530
31, 4760
32, 4930
33, 4430
34, 5540
35, 5250
36, 5570
37, 6250
38, 5330
39, 6310
40, 7240
41, 6970
42, 6220
43, 6460
44, 7140
45, 7590
46, 6120
47, 6990
48, 7050
49, 7220
50, 7930
51, 7540
52, 8100
53, 8410
54, 8700
55, 9360
56, 9780
57, 9540
58, 10140
59, 10160
60, 10490
61, 11200
62, 11990
63, 11660
64, 12440
65, 11500
66, 12820
67, 12450
68, 13140
69, 12870
70, 15220
71, 15370
72, 14950
73, 16250
74, 16150
75, 16970
76, 17600
77, 16630
78, 17090
79, 19250
80, 18720
81, 18080
82, 20240
83, 21600
84, 20190
85, 21640
86, 20440
87, 22410
88, 22570
89, 22430
90, 22570
91, 23010
92, 23110
93, 30550
94, 27920
95, 27070
96, 26020
97, 27400
98, 29640
99, 28740
100, 30620
101, 28690
102, 28790
103, 31960
104, 31210
105, 31630
106, 32150
107, 33360
108, 34910
109, 33300
110, 142340
111, 35630
112, 35380
113, 35600
114, 37760
115, 37750
116, 38280
117, 42460
118, 39640
119, 42410
120, 43500
121, 44050
122, 46550
123, 46370
124, 46570
125, 45990
126, 48900
127, 45450
128, 54830
129, 50410
130, 53290
131, 52820
132, 47950
133, 52060
134, 54620
135, 51660
136, 52350
137, 53030
138, 59900
139, 54470
140, 55280
141, 58600
142, 58080
143, 58560
144, 57190
145, 61710
146, 64570
147, 58450
148, 62660
149, 64050
150, 63670
151, 76850
152, 86480
153, 96840
154, 106480
155, 90050
156, 80070
157, 73520
158, 76010
159, 69700
160, 73940
161, 82640
162, 87260
163, 87900
164, 99390
165, 91430
166, 94480
167, 104830
168, 102580
169, 93840
170, 95220
171, 93400
172, 94200
173, 94160
174, 96030
175, 95210
176, 86060
177, 90250
178, 92530
179, 87230
180, 93490
181, 96280
182, 100660
183, 99900
184, 100580
185, 95200
186, 98690
187, 101980
188, 103640
189, 105360
190, 104830
191, 104130
192, 104260
193, 104870
194, 110810
195, 115060
196, 106730
197, 116600
198, 111260
199, 110040
200, 123940
201, 123630
202, 109360
203, 117650
204, 119400
205, 122450
206, 126040
207, 120560
208, 117500
209, 119950
210, 130300
211, 133320
212, 136020
213, 128240
214, 129620
215, 130560
216, 130000
217, 144570
218, 132150
219, 135880
220, 134460
221, 134790
222, 138920
223, 145620
224, 149500
225, 147790
226, 141620
227, 148940
228, 169580
229, 164850
230, 229810
231, 186710
232, 177570
233, 169860
234, 143460
235, 157020
236, 156130
237, 161620
238, 171370
239, 166520
240, 166580
241, 162140
242, 179070
243, 166880
244, 165350
245, 178250
246, 168960
247, 172550
248, 178800
249, 172810
250, 181280
251, 176140
252, 182060
253, 187040
254, 179250
255, 178850
256, 192070
257, 183170
258, 186770
259, 191980
260, 184440
261, 209600
262, 198320
263, 193280
264, 212350
265, 205690
266, 210530
267, 189500
268, 204810
269, 191160
270, 206260
271, 211770
272, 213270
273, 203480
274, 206720
275, 238320
276, 207190
277, 227220
278, 239140
279, 219400
280, 217170
281, 220160
282, 271760
283, 205310
284, 227100
285, 228690
286, 232800
287, 221570
288, 230040
289, 227170
290, 228470
291, 238660
292, 243340
293, 278290
294, 251440
295, 244440
296, 244750
297, 243380
298, 258590
299, 244530
300, 262200
301, 270870
302, 255500
303, 246680
304, 249950
305, 255530
306, 291400
307, 282520
308, 263410
309, 268070
310, 271700
311, 272640
312, 277830
313, 263540
314, 282110
315, 288080
316, 270890
317, 332190
318, 301180
319, 284630
320, 299990
