Element Count, Quick Sort - Random
10, 360
11, 410
12, 340
13, 600
14, 450
15, 500
16, 490
17, 710
18, 890
19, 810
20, 710
21, 680
22, 790
23, 910
24, 1190
25, 800
26, 980
27, 800
28, 1030
29, 910
30, 820
31, 980
32, 1430
33, 1300
34, 1180
35, 1400
36, 1400
37, 1620
38, 1450
39, 1610
40, 1640
41, 1810
42, 1750
43, 2670
44, 2820
45, 3860
46, 2730
47, 2740
48, 3000
49, 3730
50, 2830
51, 3430
52, 2850
53, 3030
54, 3900
55, 3770
56, 3310
57, 3280
58, 3340
59, 3520
60, 4380
61, 4110
62, 4100
63, 4370
64, 4200
65, 4380
66, 4930
67, 4430
68, 3930
69, 4740
70, 5760
71, 5590
72, 4190
73, 4420
74, 5250
75, 4950
76, 5980
77, 4850
78, 6150
79, 5650
80, 5250
81, 6420
82, 6890
83, 6230
84, 6420
85, 5410
86, 7060
87, 6170
88, 4460
89, 4410
90, 5600
91, 4960
92, 5560
93, 4920
94, 4470
95, 4790
96, 5550
97, 6200
98, 6300
99, 6110
100, 6970
101, 7960
102, 7460
103, 7820
104, 6520
105, 7440
106, 6580
107, 7620
108, 11050
109, 9740
110, 9170
111, 9160
112, 9390
113, 10690
114, 8000
115, 8060
116, 8050
117, 9170
118, 9790
119, 8490
120, 9590
121, 9350
122, 9300
123, 10170
124, 9060
125, 9900
126, 8670
127, 11620
128, 9730
129, 8400
130, 7600
131, 6680
132, 8670
133, 7440
134, 6940
135, 8370
136, 7250
137, 6890
138, 7150
139, 6640
140, 7450
141, 7520
142, 8160
143, 6650
144, 10100
145, 7230
146, 7770
147, 7510
148, 7630
149, 8460
150, 8550
151, 8160
152, 10020
153, 8270
154, 9160
155, 8270
156, 7780
157, 7930
158, 9520
159, 8800
160, 9580
161, 8470
162, 8480
163, 10180
164, 10520
165, 13330
166, 9190
167, 9960
168, 9550
169, 10020
170, 8850
171, 10150
172, 10680
173, 14630
174, 14820
175, 13440
176, 11790
177, 12640
178, 11170
179, 11710
180, 12730
181, 11100
182, 10370
183, 14430
184, 10140
185, 10170
186, 10570
187, 12150
188, 10060
189, 12390
190, 10650
191, 12570
192, 12760
193, 10500
194, 11220
195, 11480
196, 11740
197, 10830
198, 12290
199, 10720
200, 12160
201, 12320
202, 13370
203, 12280
204, 12070
205, 13420
206, 11740
207, 90740
208, 12220
209, 11230
210, 11760
211, 12490
212, 11180
213, 12400
214, 13190
215, 13450
216, 12780
217, 13400
218, 13350
219, 12350
220, 17840
221, 22810
222, 14700
223, 16770
224, 13140
225, 21100
226, 19730
227, 15860
228, 16280
229, 13640
230, 13630
231, 13600
232, 14930
233, 13920
234, 14220
235, 14680
236, 14350
237, 15730
238, 15110
239, 15750
240, 14560
241, 14120
242, 14940
243, 14640
244, 14350
245, 15200
246, 15300
247, 15170
248, 15330
249, 14940
250, 16740
251, 16080
252, 14500
253, 14770
254, 16270
255, 16390
256, 14700
257, 17160
258, 16920
259, 17740
260, 16700
261, 15610
262, 18110
263, 15670
264, 15630
265, 17110
266, 21710
267, 21580
268, 24670
269, 20660
270, 20820
271, 17640
272, 20280
273, 20480
274, 18800
275, 20570
276, 17620
277, 19960
278, 21130
279, 19380
280, 21580
281, 19560
282, 24500
283, 18220
284, 17870
285, 20200
286, 20770
287, 16540
288, 18430
289, 17290
290, 17360
291, 19910
292, 17480
293, 18210
294, 19160
295, 20370
296, 23430
297, 19310
298, 18920
299, 18430
300, 19210
301, 19360
302, 19950
303, 19790
304, 22820
305, 20320
306, 20880
307, 22880
308, 20130
309, 19060
310, 22370
311, 26640
312, 23810
313, 22650
314, 23140
315, 24250
316, 26910
317, 25230
318, 22770
319, 21030
320, 21690
321, 25570
322, 22060
323, 22860
324, 24440
325, 22560
326, 21790
327, 23710
328, 21590
329, 25140
330, 22800
331, 26040
332, 24120
333, 20850
334, 24510
335, 23030
336, 22450
337, 20700
338, 23630
339, 23300
340, 25290
341, 26260
342, 22250
343, 23710
344, 25910
345, 23670
346, 26060
347, 24380
348, 32170
349, 27610
350, 37940
351, 34890
352, 34850
353, 32150
354, 28360
355, 27670
356, 45880
357, 31480
358, 32870
359, 31870
360, 29010
361, 25410
362, 32190
363, 25370
364, 24180
365, 25550
366, 25480
367, 24600
368, 27050
369, 25530
370, 33510
371, 30730
372, 27290
373, 28550
374, 27190
375, 26670
376, 27910
377, 32320
378, 46570
379, 32760
380, 35610
381, 30670
382, 35170
383, 27260
384, 35170
385, 29830
386, 34890
387, 37540
388, 34410
389, 43420
390, 36910
391, 25410
392, 28980
393, 45040
394, 30430
395, 29490
396, 31260
397, 32660
398, 31810
399, 29020
400, 27030
401, 30730
402, 27310
403, 30860
404, 38220
405, 31990
406, 34540
407, 32620
408, 29940
409, 27690
410, 33160
411, 37770
412, 35020
413, 31190
414, 32970
415, 31870
416, 29740
417, 28490
418, 31280
419, 30920
420, 34350
421, 33190
422, 31730
423, 29270
424, 28400
425, 30350
426, 30980
427, 28990
428, 28820
429, 33220
430, 35180
431, 31300
432, 33180
433, 44630
