Element Count, Selection Sort - Ascending
10, 550
11, 540
12, 580
13, 740
14, 780
15, 850
16, 970
17, 980
18, 1040
19, 1020
20, 1130
21, 1250
22, 1340
23, 1490
24, 1580
25, 1700
26, 1830
27, 1980
28, 2110
29, 2260
30, 2470
31, 2580
32, 2730
33, 2900
34, 3060
35, 3220
36, 3440
37, 3620
38, 3750
39, 4020
40, 4200
41, 4410
42, 4590
43, 4820
44, 5230
45, 6610
46, 6890
47, 7180
48, 7460
49, 7770
50, 8130
51, 8410
52, 8060
53, 7240
54, 7590
55, 7810
56, 8150
57, 8390
58, 8690
59, 10930
60, 9320
61, 9660
62, 10000
63, 11070
64, 10600
65, 11260
66, 11230
67, 11570
68, 11930
69, 12300
70, 12600
71, 12980
72, 13980
73, 13930
74, 14290
75, 17390
76, 15160
77, 15580
78, 15920
79, 16790
80, 16470
81, 16880
82, 17300
83, 17780
84, 18170
85, 18650
86, 19740
87, 19440
88, 19880
89, 20360
90, 21870
91, 23860
92, 23050
93, 22170
94, 22620
95, 23100
96, 23570
97, 24680
98, 24560
99, 24990
100, 25520
101, 26060
102, 26820
103, 27090
104, 27570
105, 28100
106, 28660
107, 29580
108, 29670
109, 30280
110, 30900
111, 31400
112, 35820
113, 32490
114, 33110
115, 33630
116, 35080
117, 36480
118, 35710
119, 36380
120, 36960
121, 37160
122, 37850
123, 39350
124, 39040
125, 39640
126, 40290
127, 41800
128, 41560
129, 42160
130, 42840
131, 43470
132, 44130
133, 44810
134, 45870
135, 46240
136, 46940
137, 47560
138, 48200
139, 48910
140, 51390
141, 50440
142, 51650
143, 52440
144, 52380
145, 53140
146, 54840
147, 55310
148, 57310
149, 57770
150, 57610
151, 58020
152, 58740
153, 59120
154, 60460
155, 60750
156, 62020
157, 62150
158, 62970
159, 64280
160, 64790
161, 71990
162, 72680
163, 103420
164, 110890
165, 113070
166, 109740
167, 106170
168, 80230
169, 71970
170, 73510
171, 73560
172, 74820
173, 75270
174, 76500
175, 77060
176, 78230
177, 88710
178, 79860
179, 81270
180, 81500
181, 82800
182, 83350
183, 84720
184, 85080
185, 86060
186, 87050
187, 88230
188, 88800
189, 90150
190, 90710
191, 93690
192, 92660
193, 102540
194, 95470
195, 95530
196, 96960
197, 97680
198, 98760
199, 99780
200, 100550
201, 106130
202, 103240
203, 105980
204, 109110
205, 109030
206, 106550
207, 121970
208, 119880
209, 110780
210, 110740
211, 111860
212, 115890
213, 120940
214, 117650
215, 116220
216, 118870
217, 118650
218, 120800
219, 121420
220, 122350
221, 123250
222, 126640
223, 126380
224, 126630
225, 127220
226, 129160
227, 133490
228, 131280
229, 133550
230, 133180
231, 134830
232, 135930
233, 137000
234, 137660
235, 139480
236, 142730
237, 144570
238, 142670
239, 143140
240, 144470
241, 146010
242, 148850
243, 159900
244, 149760
245, 151820
246, 156390
247, 153020
248, 154030
249, 156180
250, 157520
251, 164050
252, 159570
253, 162310
254, 164300
255, 164990
256, 164360
257, 165500
258, 167920
259, 170180
260, 169440
261, 173740
262, 172640
263, 179970
264, 175960
265, 176110
266, 177950
267, 179740
268, 180210
269, 182180
270, 183340
271, 193920
272, 185570
273, 186780
274, 188780
275, 199090
276, 190850
277, 195900
278, 194340
279, 194870
280, 196870
281, 197530
282, 204990
283, 202250
284, 202180
285, 203200
286, 204560
287, 207200
