Element Count, Selection Sort - Descending
10, 610
11, 500
12, 700
13, 600
14, 630
15, 690
16, 780
17, 850
18, 950
19, 1040
20, 1120
21, 1270
22, 1380
23, 1470
24, 1610
25, 1720
26, 2190
27, 2470
28, 2070
29, 2230
30, 2380
31, 2550
32, 2700
33, 2900
34, 3060
35, 3230
36, 3410
37, 3600
38, 3760
39, 4000
40, 4160
41, 4330
42, 4540
43, 4800
44, 5020
45, 5660
46, 5530
47, 5780
48, 6030
49, 6270
50, 6540
51, 6770
52, 7020
53, 7220
54, 7430
55, 7680
56, 8410
57, 8270
58, 8610
59, 8920
60, 9140
61, 9370
62, 9720
63, 10020
64, 10340
65, 10550
66, 11300
67, 11830
68, 12750
69, 11830
70, 12920
71, 12580
72, 13480
73, 13350
74, 13650
75, 14560
76, 14310
77, 14710
78, 15030
79, 15470
80, 15910
81, 16230
82, 16670
83, 17000
84, 17390
85, 17900
86, 18210
87, 18730
88, 19670
89, 19830
90, 20250
91, 20700
92, 21710
93, 21910
94, 22500
95, 23310
96, 26860
97, 24670
98, 25700
99, 24930
100, 27480
101, 26010
102, 27280
103, 26210
104, 27330
105, 28470
106, 28090
107, 28970
108, 29800
109, 30230
110, 31090
111, 32560
112, 32350
113, 31790
114, 32690
115, 32730
116, 33430
117, 34140
118, 35070
119, 37090
120, 45680
121, 45510
122, 43090
123, 47970
124, 38850
125, 40440
126, 41400
127, 42320
128, 42810
129, 42870
130, 44640
131, 43650
132, 44740
133, 45840
134, 45100
135, 159140
136, 45630
137, 46850
138, 48120
139, 49750
140, 50820
141, 50890
142, 51680
143, 52630
144, 55530
145, 54250
146, 55460
147, 55510
148, 56220
149, 57170
150, 58500
151, 59130
152, 59280
153, 60310
154, 61590
155, 61820
156, 62900
157, 63250
158, 64050
159, 65540
160, 66200
161, 67090
162, 67540
163, 68500
164, 69580
165, 70630
166, 71350
167, 72660
168, 75930
169, 73610
170, 76120
171, 75070
172, 76830
173, 77180
174, 77910
175, 79310
176, 80830
177, 80640
178, 81910
179, 82570
180, 83780
181, 98760
182, 92940
183, 89250
184, 87120
185, 88040
186, 89910
187, 90900
188, 90860
189, 92300
190, 92840
191, 93680
192, 94530
193, 95930
194, 98170
195, 98830
196, 105420
197, 100540
198, 100940
199, 102280
200, 102700
201, 104800
202, 108870
203, 112300
204, 116720
205, 110500
206, 109260
207, 110660
208, 111530
209, 116620
210, 114870
211, 118070
212, 115700
213, 121510
214, 118590
215, 119350
216, 120290
217, 124860
218, 122720
219, 123320
220, 125510
221, 129790
222, 128010
223, 128120
224, 130310
225, 131030
226, 132490
227, 132540
228, 133710
229, 134510
230, 137140
231, 140220
232, 162070
233, 140330
234, 141580
235, 141640
236, 148380
237, 146580
238, 146260
239, 180580
240, 230100
241, 234640
242, 230490
243, 195890
244, 204350
245, 256370
246, 218050
247, 229800
248, 236980
249, 235110
250, 230130
251, 242680
252, 205600
253, 225990
254, 301220
255, 246610
256, 265270
257, 257170
258, 333880
259, 309890
260, 260690
261, 220710
262, 206950
263, 264530
264, 216130
265, 236000
266, 261790
267, 257950
268, 338650
269, 273330
270, 377550
271, 322430
272, 285740
273, 228050
274, 222070
275, 250000
276, 255850
277, 233570
278, 258350
279, 279840
280, 251260
281, 269000
282, 268730
283, 248860
284, 271170
285, 284180
286, 298360
287, 296480
288, 301850
289, 288560
290, 265960
291, 254480
292, 255140
293, 253110
294, 251540
295, 244400
296, 238440
297, 241630
298, 242370
299, 241720
300, 239700
301, 239120
302, 240110
303, 247920
304, 244810
305, 248890
306, 249930
307, 250550
308, 252410
309, 256980
310, 254980
311, 256110
312, 264110
313, 260020
314, 261550
315, 265290
316, 264800
317, 264740
318, 266890
319, 267140
320, 288370
321, 297890
322, 289300
323, 287450
324, 276380
325, 288110
326, 280220
327, 281990
328, 283980
329, 284400
330, 308020
331, 294990
332, 293770
333, 294160
334, 294310
335, 301960
336, 299570
337, 298970
338, 302390
339, 300260
340, 313910
341, 308370
342, 327670
343, 316790
344, 320290
345, 322130
346, 325530
347, 331820
348, 334390
349, 349050
350, 369990
351, 384350
352, 376350
353, 382140
354, 375490
355, 364680
356, 360660
357, 354660
358, 361880
359, 433690
360, 386020
361, 366800
362, 360130
363, 346360
364, 342170
365, 343810
366, 391750
367, 356590
368, 359980
369, 351540
370, 356840
371, 365880
372, 356800
373, 358040
374, 359030
375, 435380
376, 399080
377, 395160
378, 452680
379, 436760
380, 427890
381, 423400
382, 441570
383, 404900
384, 394720
385, 434360
386, 438430
387, 439810
388, 429450
389, 433610
390, 413370
391, 410720
392, 416500
393, 402240
394, 399450
395, 415990
396, 406410
397, 403860
398, 410490
399, 417370
400, 414930
401, 413440
402, 421980
403, 416460
404, 425270
405, 427150
406, 427010
407, 432140
408, 429180
409, 431740
410, 430070
411, 449280
412, 440510
413, 436260
414, 447080
415, 451110
416, 451660
417, 453840
418, 461050
419, 455570
420, 454630
421, 471190
422, 466330
423, 463600
424, 472540
425, 467220
426, 471070
427, 479250
428, 481040
429, 480860
430, 487150
431, 489060
432, 484310
433, 491620
434, 509460
435, 491660
436, 497890
437, 493350
438, 496940
439, 505600
440, 515590
441, 503820
442, 510840
443, 510580
444, 512310
445, 515810
446, 514520
447, 518220
448, 526050
449, 523350
450, 526080
451, 533380
452, 533010
453, 537670
454, 532920
455, 537160
456, 543230
457, 552480
458, 547050
459, 581160
460, 547760
461, 560940
462, 544780
463, 546980
464, 554970
465, 553610
466, 557620
467, 564520
468, 565660
469, 582100
470, 565060
471, 564310
472, 571130
473, 569870
474, 598810
475, 576820
476, 581970
477, 604340
478, 584320
479, 605900
480, 592740
481, 589150
482, 603330
483, 599490
484, 612080
485, 604580
486, 605510
487, 661330
488, 608410
489, 635470
490, 617450
491, 668060
492, 677910
493, 630510
494, 629930
495, 677920
496, 725080
497, 756520
498, 1057270
499, 646580
500, 640360
501, 647690
502, 654050
503, 656190
504, 681120
