Element Count, Selection Sort - Random
10, 490
11, 520
12, 570
13, 590
14, 620
15, 680
16, 780
17, 850
18, 930
19, 1040
20, 1110
21, 1210
22, 1350
23, 1600
24, 1560
25, 1710
26, 1830
27, 2040
28, 2070
29, 2180
30, 2300
31, 2490
32, 2580
33, 2770
34, 3170
35, 3140
36, 3280
37, 3490
38, 3940
39, 3940
40, 4140
41, 4320
42, 4510
43, 5360
44, 7090
45, 8610
46, 9120
47, 9370
48, 9680
49, 10140
50, 10600
51, 10880
52, 11420
53, 12530
54, 12490
55, 12770
56, 14180
57, 13980
58, 14440
59, 14760
60, 15960
61, 15960
62, 16530
63, 17170
64, 17460
65, 18150
66, 18620
67, 19110
68, 18780
69, 20380
70, 21110
71, 21680
72, 22890
73, 22380
74, 22350
75, 14260
76, 14100
77, 14540
78, 14920
79, 15780
80, 15720
81, 16080
82, 18870
83, 16890
84, 17290
85, 17720
86, 18600
87, 18480
88, 19490
89, 19520
90, 19950
91, 20490
92, 21410
93, 22060
94, 22310
95, 22750
96, 23910
97, 23930
98, 27000
99, 25920
100, 26040
101, 26150
102, 26930
103, 26650
104, 28170
105, 29680
106, 28070
107, 28430
108, 29300
109, 30240
110, 29890
111, 30400
112, 31020
113, 33380
114, 35080
115, 34240
116, 33970
117, 34830
118, 42990
119, 36310
120, 36710
121, 37690
122, 37910
123, 38210
124, 38920
125, 39320
126, 41230
127, 40270
128, 41090
129, 41270
130, 42590
131, 43350
132, 44290
133, 47110
134, 45210
135, 46240
136, 86190
137, 141810
138, 47390
139, 46440
140, 49530
141, 51320
142, 57410
143, 71160
144, 73120
145, 74900
146, 95400
147, 79640
148, 70450
149, 70250
150, 80180
151, 83330
152, 89050
153, 70100
154, 87910
155, 88710
156, 95920
157, 92870
158, 106320
159, 100230
160, 92630
161, 102090
162, 97960
163, 111310
164, 106760
165, 113120
166, 108080
167, 113700
168, 115610
169, 119370
170, 105790
171, 99000
172, 89170
173, 95950
174, 96470
175, 98240
176, 112560
177, 122400
178, 135740
179, 99650
180, 97560
181, 97150
182, 97680
183, 96880
184, 105420
185, 101430
186, 98540
187, 124730
188, 107770
189, 100320
190, 99100
191, 98990
192, 102020
193, 107350
194, 103720
195, 104010
196, 106130
197, 122310
198, 111320
199, 144360
200, 153210
201, 141240
202, 133100
203, 132700
204, 163640
205, 123990
206, 195310
207, 154190
208, 144690
209, 159460
210, 151740
211, 141090
212, 144110
213, 152040
214, 153340
215, 150820
216, 149920
217, 164760
218, 177010
219, 155600
220, 151430
221, 153020
222, 144320
223, 149890
224, 139680
225, 139170
226, 143690
227, 154900
228, 157160
229, 173060
230, 162160
231, 150030
232, 140280
233, 141580
234, 142880
235, 142100
236, 159920
237, 174370
238, 149410
239, 147530
240, 148910
241, 150590
242, 151990
243, 152050
244, 153360
245, 154510
246, 184530
247, 162440
248, 160960
249, 171300
250, 161950
251, 161820
252, 164090
253, 166510
254, 198120
255, 220240
256, 174380
257, 169860
258, 173210
259, 173550
260, 175170
261, 177250
262, 178940
263, 229700
264, 183240
265, 187210
266, 183190
267, 187080
268, 189930
269, 197740
270, 249250
271, 223900
272, 244590
273, 239840
274, 210770
275, 230540
276, 278180
277, 275580
278, 260090
279, 257630
280, 214290
281, 210150
282, 218760
283, 232540
284, 275870
285, 298010
286, 302330
287, 229860
288, 218470
289, 232370
290, 221470
291, 221120
292, 223430
293, 228200
294, 223830
295, 239300
296, 242490
297, 227830
298, 236290
299, 236480
300, 238030
301, 256470
302, 291080
303, 291580
304, 369480
305, 340580
306, 294870
307, 300850
308, 260060
309, 256000
310, 256960
311, 262150
312, 277420
313, 275130
314, 260230
315, 261730
316, 266270
317, 280900
318, 335770
319, 277410
320, 269550
321, 273980
322, 274520
323, 327470
324, 280550
325, 276290
326, 282250
327, 298380
328, 294390
329, 306970
330, 294470
331, 289630
332, 296590
333, 323540
334, 376730
335, 407230
336, 305900
337, 297940
338, 317420
339, 444070
340, 403600
341, 334130
342, 334580
343, 335790
344, 454070
345, 485400
346, 398040
347, 464790
348, 535310
349, 430210
350, 439970
351, 447640
352, 414540
353, 341990
354, 327530
355, 332150
356, 333820
357, 364240
358, 359240
359, 340120
360, 344500
361, 357740
362, 466130
363, 364380
364, 347560
365, 348350
366, 389800
367, 356450
368, 359100
369, 358050
370, 383000
371, 357850
372, 368570
373, 379740
374, 459530
375, 493630
376, 607480
377, 550230
378, 655470
379, 773350
380, 737300
381, 593730
382, 657600
383, 710310
384, 539910
385, 498040
386, 566540
387, 431340
388, 385060
389, 391100
390, 399750
391, 457890
392, 394740
393, 404010
394, 403140
395, 437200
396, 579710
397, 571640
398, 477190
399, 422210
400, 420560
401, 444840
402, 419640
403, 435110
404, 439190
405, 448730
406, 427470
407, 439620
408, 471730
409, 540000
410, 441150
411, 461850
412, 658250
413, 475520
414, 474850
415, 483940
416, 449830
417, 451440
418, 577520
419, 645380
420, 600160
421, 459130
422, 465730
423, 469200
424, 495530
425, 472810
426, 474790
427, 554700
428, 475180
429, 481450
430, 559470
431, 497560
432, 519660
433, 542910
434, 489660
435, 496330
436, 644650
437, 498510
438, 494880
439, 523140
440, 550440
441, 501720
442, 540940
443, 512410
444, 516530
445, 574670
446, 518180
447, 532620
448, 609000
449, 573220
450, 545170
451, 550230
452, 530540
453, 552570
454, 534820
455, 534290
456, 596610
457, 544600
458, 545060
459, 659340
460, 790340
461, 839170
462, 658750
463, 577950
464, 596740
465, 558750
466, 589440
467, 563640
468, 566010
469, 619050
470, 568980
471, 585860
472, 618830
473, 578040
474, 624170
475, 796970
476, 786970
477, 592790
478, 591090
479, 626420
480, 601820
481, 643310
482, 757230
483, 791090
484, 852510
485, 894490
486, 742950
487, 741730
488, 862560
489, 823390
490, 793260
491, 868240
492, 833710
493, 841780
494, 743500
495, 860960
496, 665830
497, 707620
498, 744780
499, 685300
500, 1022460
501, 670040
502, 645900
503, 699390
504, 666320
505, 677570
506, 705610
507, 863440
508, 1019640
509, 914850
510, 678230
511, 675950
512, 719070
513, 689160
514, 727810
515, 701120
516, 771140
517, 742170
518, 772830
519, 911870
520, 828180
521, 706900
522, 744220
523, 706730
524, 750110
525, 723040
526, 733820
527, 956410
528, 946390
529, 722670
530, 808310
531, 901370
532, 818180
533, 946500
534, 1154220
535, 969000
536, 737930
537, 791280
538, 763590
539, 831120
540, 928060
541, 885240
542, 716600
543, 737440
544, 733380
545, 913270
546, 787240
547, 777020
548, 787100
549, 792830
550, 788300
551, 784280
552, 797730
553, 783430
554, 800820
555, 791300
556, 813560
557, 795570
558, 867480
559, 807770
560, 882080
561, 814820
562, 807560
563, 870410
564, 848510
565, 859720
566, 858930
567, 837920
568, 854820
569, 866780
570, 844840
571, 839650
572, 918400
573, 842970
574, 857480
575, 862590
576, 850890
577, 852630
578, 856320
579, 862140
580, 859630
581, 872590
582, 867720
583, 876420
584, 899890
585, 917270
586, 879330
587, 879770
588, 884620
589, 947070
590, 1066200
591, 1117530
592, 925070
593, 859540
594, 881830
595, 872930
596, 877130
597, 866610
598, 933390
599, 901140
600, 889060
601, 898470
602, 910450
603, 1210500
604, 962550
605, 969810
606, 1208980
607, 1215530
608, 1065390
609, 1229450
610, 923110
611, 920230
612, 918520
613, 946340
614, 1041450
615, 1316140
616, 927720
617, 938110
618, 942620
619, 1388680
620, 1447570
621, 955860
622, 983750
623, 963140
624, 976970
625, 992300
626, 1118960
627, 1197160
628, 1024900
629, 962530
630, 1067290
631, 994940
632, 984810
633, 1249750
634, 1373190
635, 1243010
636, 1208210
637, 1108730
638, 1064620
639, 1060310
640, 1052140
641, 1044310
642, 1060470
643, 1101150
644, 1058670
645, 1452670
646, 1050800
647, 1043500
648, 1021870
649, 1042390
650, 1037320
651, 1025440
652, 1060130
653, 1043220
654, 1049450
655, 1055430
656, 1057270
657, 1043740
658, 1061160
659, 1059100
660, 1061720
661, 1064060
662, 1075370
663, 1076680
664, 1070910
665, 1094010
666, 1085120
667, 1078360
668, 1087800
669, 1104830
670, 1097240
671, 1109140
672, 1096820
673, 1112850
674, 1132930
675, 1126950
676, 1129590
677, 1118160
678, 1123630
679, 1119160
680, 1135360
681, 1154430
682, 1139130
683, 1136170
684, 1160230
685, 1145390
686, 1151820
687, 1148850
688, 1168910
689, 1175120
690, 1179630
691, 1175570
692, 1184350
693, 1169290
694, 1170510
695, 1163640
696, 1362620
697, 1275750
698, 1438510
699, 1263850
700, 1265850
701, 1271090
702, 1250210
703, 1263140
704, 1393890
705, 1398710
706, 1365050
707, 1248240
708, 1280270
709, 1218480
710, 1221080
711, 1231970
712, 1355150
713, 1602960
714, 1235770
715, 1343600
716, 1250180
717, 1278460
718, 1269450
719, 1285920
720, 1325470
721, 1341170
722, 1260450
723, 1265160
724, 1264800
725, 1299210
726, 1319830
727, 1281520
728, 1280460
729, 1350820
730, 1286840
731, 1300170
732, 1472030
733, 1361140
734, 1318260
735, 1315730
736, 1308570
737, 1326610
738, 1328320
739, 1334060
740, 1342200
741, 1332500
742, 1349600
743, 1350260
744, 1354110
745, 1346250
746, 1348740
747, 1361090
748, 1382520
749, 1360650
750, 1370630
751, 1368430
752, 1364230
753, 1374660
754, 1380290
755, 1394170
756, 1387980
757, 1399020
758, 1381130
759, 1393340
760, 1401570
761, 1425120
762, 1417860
763, 1412930
764, 1924080
765, 2148210
766, 1661430
767, 1444860
768, 1453780
769, 1476970
770, 1844130
771, 1544980
772, 2197240
773, 2169400
774, 2243710
775, 2146030
776, 2133690
777, 2250410
778, 2283790
779, 1645110
780, 1808810
781, 2117340
782, 1511370
783, 1500890
784, 1500150
785, 1500150
786, 1505970
787, 1507120
788, 1509400
789, 1519950
790, 2002600
791, 1505230
792, 1515980
793, 1525040
794, 1527730
795, 1532840
796, 1529010
797, 1558750
798, 1800200
799, 2502120
800, 1847180
